id,left_row_index,right_row_index,left_name_company,right_name_company,label,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
60,78,138,Shanghai Tianchen Co. Ltd,Rayonier,1,Real Estate,"['Real Estate', 'Consumer Services', 'Wood Products', 'Property Investments']",,,,,,,,,,,,,,
61,49819,40149,Saviola Holding Srl,Yama Spa,1,"Finance, Insurance, and Real Estate","Finance, Insurance, and Real Estate",Corporation,Corporation,,,,,,,,,,,,
62,367,370,Wharf (holdings),Assura,1,"['Real Estate', 'Hotels', 'Transportation', 'Marine Transportation']","['Real Estate', 'Investments', 'Property Investments']",,,,,,,,,,,,,,
63,38912,22849,Netcompany,Softpedia,1,Technology,Technology,Software,Software,,,,,,,,,,,,
64,44537,44560,Gs Engineering & Construction Corporation,Aspir Adour,1,"['Industries', 'Engineering Products', 'Engineering Services', 'Construction Materials', 'Construction']",Construction,,,,,,,,,,,,,,
65,44566,52135,Coca-Cola Company,Grizzly New Marketing,1,Marketing & Advertising,Sales & Marketing,,,,,,,,,,,,,,
66,19,31688,Prexta Spa In Forma Abbreviata Prexta Spa,Mediolanum Vita Spa,1,,,,,"PALAZZO MEUCCI VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY","VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY",,ITALY,,,IT07551781003,IT01749470157,,,,
67,31697,49184,Hindustan Petroleum Corp Ltd,General Insurance Corporation of India,0,,,,,"Petroleum House, 17, Jamshedji Tata Road, Churchgate, Mumbai, 400020","Suraksha, 170, Jamshedji Tata Road, Churchgate, Mumbai, 400020",,,,,,,,,,
68,43572,49199,Veolia Environnement SA,Sanofi,0,,,,,"21 Rue La Boetie, Paris, Ile-de-France, 75008","54 Rue La Boetie, Paris, 75008",,Paris,,,,France,,Europe,,
69,1640,2376,Saudi Arabian Mining Company (ma'aden),Rabigh Refining And Petrochemical Company,1,,,,,,,,,,,Saudi Arabia,Saudi Arabia,Asia,Asia,,
70,74,453,TURNER BROADCASTING SYSTEM EUROPE LIMITED,REVOLUT TRADING LTD,1,,,,,,,LONDON,LONDON,UNITED KINGDOM,UNITED KINGDOM,UNITED KINGDOM,UNITED KINGDOM,,,,
71,552,25725,Siam Makro Public Company,Berli Jucker Public Company,1,,,,,,,Bangkok,Bangkok,,,Thailand,Thailand,Asia,Asia,,
72,25806,51171,FRATELLI COSULICH SPA,GENERALI INVESTMENTS PARTNERS SPA SOCIETA' DI GESTIONE DEL RISPARMIO,1,,,,,,,TRIESTE,TRIESTE,ITALY,ITALY,ITALY,ITALY,,,,
73,51443,15509,"CEC EDUCATIONAL SERVICES, LLC",MARTIN TOOL WORKS INC,1,,,,,,,SCHAUMBURG,SCHAUMBURG,Illinois(IL),Illinois(IL),UNITED STATES,UNITED STATES,,,,
74,57140,47772,Ramsay Generale de Sante,Ramsay Générale de Santé SA,1,,,,,,,,,,,,,,,www.ramsaysante.fr,https://disfold.com/company/ramsay-generale-de-sante-sa/
75,40274,47485,KB Financial Group Inc.,KB Financial Group Inc,1,,,,,,,,,,,,,,,https://disfold.com/company/kb-financial-group-inc/,www.kbfg.com
76,30647,50893,IQVIA Holdings Inc.,IQVIA Holdings Inc,1,,,,,,,,,,,,,,,https://disfold.com/company/iqvia-holdings-inc/,ir.iqvia.com
77,7585,58828,Cognizant Careers,Cognizant Technology Solutions Corp,1,,,,,,,,,,,,,,,www.cognizant.com,www.cognizant.com
78,36019,46449,Schlumberger Limited,Schlumberger Ltd,1,,,,,,,,,,,,,,,https://disfold.com/company/schlumberger-limited/,www.slb.com
79,48342,53987,Saudi Arabian Mining Co,Saudi Arabian Mining Company,1,,,,,,,,,,,,,,,www.maaden.com.sa,https://disfold.com/company/saudi-arabian-mining-company/
80,28663,29001,CME Group Inc.,CME Group Inc,1,,,,,,,,,,,,,,,https://disfold.com/company/cme-group-inc/,www.cmegroup.com
81,14391,36234,Accenture Plc,Clarity Insights Careers,1,,,,,,,,,,,,,,,www.accenture.com,www.accenture.com
